성공적인 직업생활,,,농업 기초 기술,,,공업 일반,,,상업 경제,,,수산·해운 산업 기초,,,인간 발달,,,생활과 윤리,,,윤리와 사상,,,한국지리,,,세계지리,,,동아시아사,,,세계사,,,경제,,,정치와 법,,,사회·문화,,,물리학 I,,,화학 I,,,생명과학 I,,,지구과학 I,,,물리학 II,,,화학 II,,,생명과학 II,,,지구과학 II,,
표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계),표준점수,계,누적(계)
56,134,"1,396",57,8,67,51,33,655,62,21,292,44,1,20,55,7,290,51,"3,551","69,415",54,410,"13,098",51,"1,239","20,436",51,405,"14,620",52,428,"10,151",51,444,"8,093",52,110,"2,462",49,704,"14,880",53,"6,265","62,920",57,"1,963","20,264",53,"2,403","35,498",57,"6,140","43,709",59,"3,257","32,528",53,62,"1,310",54,71,"1,264",54,148,"2,793",62,164,557
55,81,"1,477",56,8,75,50,22,677,61,37,329,43,4,24,54,9,299,50,"2,751","72,166",53,386,"13,484",50,771,"21,207",50,480,"15,100",51,886,"11,037",50,255,"8,348",51,98,"2,560",48,372,"15,252",52,"2,675","65,595",56,"1,888","22,152",52,"1,849","37,347",56,"3,928","47,637",58,"3,290","35,818",52,50,"1,360",53,89,"1,353",53,106,"2,899",61,93,650
54,178,"1,655",55,9,84,49,49,726,60,21,350,42,1,25,53,18,317,49,"6,288","78,454",52,796,"14,280",49,680,"21,887",49,958,"16,058",50,454,"11,491",49,495,"8,843",50,240,"2,800",47,386,"15,638",51,"2,635","68,230",55,"1,457","23,609",51,"2,539","39,886",55,"4,856","52,493",57,"3,594","39,412",51,58,"1,418",52,150,"1,503",52,147,"3,046",60,118,768
53,106,"1,761",54,11,95,48,40,766,59,37,387,39,1,26,52,34,351,48,"2,849","81,303",51,372,"14,652",48,"1,550","23,437",48,500,"16,558",49,468,"11,959",48,215,"9,058",49,113,"2,913",46,692,"16,330",50,"2,763","70,993",54,"1,935","25,544",50,"1,645","41,531",54,"4,449","56,942",56,"3,378","42,790",50,87,"1,505",51,72,"1,575",51,235,"3,281",59,93,861
52,131,"1,892",53,4,99,47,66,832,58,38,425,37,2,28,51,22,373,47,"3,509","84,812",50,417,"15,069",47,757,"24,194",47,"1,193","17,751",48,987,"12,946",47,555,"9,613",48,119,"3,032",45,377,"16,707",49,"4,687","75,680",53,"1,345","26,889",49,"3,823","45,354",53,"3,547","60,489",55,"3,576","46,366",49,55,"1,560",50,50,"1,625",50,107,"3,388",58,103,964
51,206,"2,098",52,5,104,46,52,884,57,33,458,36,1,29,50,17,390,46,"2,989","87,801",49,980,"16,049",46,"1,726","25,920",46,579,"18,330",47,561,"13,507",46,317,"9,930",47,252,"3,284",44,846,"17,553",48,"2,227","77,907",52,"1,494","28,383",48,"1,444","46,798",52,"7,447","67,936",54,"3,475","49,841",48,57,"1,617",49,169,"1,794",49,99,"3,487",57,114,"1,078"
50,133,"2,231",51,7,111,45,43,927,56,44,502,35,2,31,49,32,422,45,"6,425","94,226",48,553,"16,602",45,975,"26,895",45,677,"19,007",46,471,"13,978",45,739,"10,669",46,139,"3,423",43,429,"17,982",47,"2,308","80,215",51,"2,809","31,192",47,"1,710","48,508",51,"3,611","71,547",53,"7,119","56,960",47,82,"1,699",48,82,"1,876",48,140,"3,627",56,108,"1,186"
49,198,"2,429",50,7,118,44,109,"1,036",55,45,547,,,,48,79,501,44,"2,871","97,097",47,537,"17,139",44,952,"27,847",44,"1,388","20,395",45,"1,138","15,116",44,408,"11,077",45,128,"3,551",42,947,"18,929",46,"2,253","82,468",50,"1,532","32,724",46,"1,487","49,995",50,"3,152","74,699",52,"3,492","60,452",46,68,"1,767",47,67,"1,943",47,243,"3,870",55,116,"1,302"
48,165,"2,594",49,9,127,43,33,"1,069",54,40,587,,,,47,44,545,43,"3,089","100,186",46,"1,273","18,412",43,"1,915","29,762",43,803,"21,198",44,540,"15,656",43,472,"11,549",44,249,"3,800",41,482,"19,411",45,"2,315","84,783",49,"1,377","34,101",45,"1,404","51,399",49,"3,078","77,777",51,"3,516","63,968",45,48,"1,815",46,67,"2,010",46,122,"3,992",54,110,"1,412"
47,172,"2,766",48,12,139,42,86,"1,155",53,42,629,,,,46,37,582,42,"2,747","102,933",45,803,"19,215",42,"1,001","30,763",42,"1,728","22,926",43,616,"16,272",42,"1,039","12,588",43,103,"3,903",40,535,"19,946",44,"4,833","89,616",48,"1,340","35,441",44,"1,507","52,906",48,"2,983","80,760",50,"3,427","67,395",44,160,"1,975",45,161,"2,171",45,146,"4,138",53,85,"1,497"
46,203,"2,969",47,6,145,41,46,"1,201",52,34,663,,,,45,104,686,41,"5,586","108,519",44,753,"19,968",41,"1,056","31,819",41,"1,262","24,188",42,595,"16,867",41,572,"13,160",42,154,"4,057",39,"1,458","21,404",43,"2,500","92,116",47,"1,647","37,088",43,"1,365","54,271",47,"2,891","83,651",49,"3,484","70,879",43,78,"2,053",44,76,"2,247",44,147,"4,285",52,112,"1,609"
45,148,"3,117",46,14,159,40,71,"1,272",51,43,706,,,,44,44,730,40,"2,575","111,094",43,"1,674","21,642",40,"2,046","33,865",40,819,"25,007",41,"1,196","18,063",40,"1,436","14,596",41,253,"4,310",38,573,"21,977",42,"2,499","94,615",46,"1,355","38,443",42,"1,520","55,791",46,"3,129","86,780",48,"3,509","74,388",42,90,"2,143",43,77,"2,324",43,331,"4,616",51,105,"1,714"
44,173,"3,290",45,6,165,39,77,"1,349",50,46,752,,,,43,47,777,39,"2,735","113,829",42,952,"22,594",39,999,"34,864",39,"1,853","26,860",40,555,"18,618",39,628,"15,224",40,167,"4,477",37,"1,027","23,004",41,"2,682","97,297",45,"1,709","40,152",41,"1,307","57,098",45,"2,836","89,616",47,"3,604","77,992",41,193,"2,336",42,68,"2,392",42,139,"4,755",50,104,"1,818"
42,179,"3,469",44,12,177,38,31,"1,380",49,49,801,,,,42,49,826,38,"2,298","116,127",41,"1,089","23,683",38,990,"35,854",38,700,"27,560",39,689,"19,307",38,885,"16,109",39,111,"4,588",36,417,"23,421",40,"2,514","99,811",44,"1,697","41,849",40,"1,403","58,501",44,"3,376","92,992",46,"7,393","85,385",40,134,"2,470",41,187,"2,579",41,191,"4,946",49,84,"1,902"
41,135,"3,604",43,7,184,37,57,"1,437",48,67,868,,,,41,90,916,37,"5,258","121,385",40,"2,509","26,192",37,"2,201","38,055",37,"1,425","28,985",38,"1,202","20,509",37,461,"16,570",38,315,"4,903",35,"1,215","24,636",39,"5,665","105,476",43,"1,615","43,464",39,"2,772","61,273",43,"3,107","96,099",45,"3,977","89,362",39,97,"2,567",40,116,"2,695",40,188,"5,134",48,87,"1,989"
40,158,"3,762",42,1,185,36,28,"1,465",47,148,"1,016",,,,40,36,952,36,"2,134","123,519",39,863,"27,055",36,"1,508","39,563",36,819,"29,804",37,687,"21,196",36,497,"17,067",37,81,"4,984",34,326,"24,962",38,"2,517","107,993",42,"3,688","47,152",38,"1,588","62,861",42,"3,359","99,458",44,"4,085","93,447",38,181,"2,748",39,92,"2,787",39,400,"5,534",47,122,"2,111"
39,115,"3,877",41,8,193,35,31,"1,496",46,72,"1,088",,,,39,32,984,35,"1,872","125,391",38,835,"27,890",35,579,"40,142",35,795,"30,599",36,362,"21,558",35,257,"17,324",36,174,"5,158",33,435,"25,397",37,"2,711","110,704",41,"2,010","49,162",37,"1,309","64,170",41,"3,598","103,056",43,"4,265","97,712",37,55,"2,803",38,239,"3,026",38,134,"5,668",46,76,"2,187"
38,122,"3,999",40,8,201,34,16,"1,512",45,101,"1,189",,,,38,24,"1,008",34,"1,790","127,181",37,"1,303","29,193",34,978,"41,120",34,282,"30,881",35,654,"22,212",34,160,"17,484",35,163,"5,321",32,244,"25,641",36,"4,043","114,747",40,"1,807","50,969",36,"1,635","65,805",40,"3,225","106,281",42,"5,333","103,045",36,60,"2,863",37,61,"3,087",37,166,"5,834",45,111,"2,298"
37,88,"4,087",39,12,213,33,10,"1,522",44,80,"1,269",,,,37,21,"1,029",33,"4,613","131,794",36,513,"29,706",33,217,"41,337",33,139,"31,020",34,276,"22,488",33,45,"17,529",34,69,"5,390",31,190,"25,831",35,"3,694","118,441",39,"2,157","53,126",35,"1,235","67,040",39,"4,040","110,321",41,"4,500","107,545",35,82,"2,945",36,60,"3,147",36,203,"6,037",44,112,"2,410"
36,64,"4,151",38,4,217,32,3,"1,525",43,81,"1,350",,,,36,7,"1,036",32,"2,799","134,593",35,922,"30,628",32,371,"41,708",32,153,"31,173",33,217,"22,705",32,23,"17,552",33,23,"5,413",30,138,"25,969",34,"3,472","121,913",38,"1,937","55,063",34,"1,242","68,282",38,"7,073","117,394",40,"4,021","111,566",34,25,"2,970",35,57,"3,204",35,263,"6,300",43,130,"2,540"
35,59,"4,210",37,3,220,30,2,"1,527",42,84,"1,434",,,,35,2,"1,038",31,661,"135,254",34,550,"31,178",31,66,"41,774",30,48,"31,221",32,103,"22,808",,,,32,38,"5,451",28,38,"26,007",33,"1,462","123,375",37,"1,329","56,392",33,"1,252","69,534",37,"3,459","120,853",39,"4,134","115,700",33,12,"2,982",34,58,"3,262",34,60,"6,360",42,89,"2,629"
34,59,"4,269",36,3,223,,,,41,77,"1,511",,,,34,4,"1,042",30,627,"135,881",33,63,"31,241",30,84,"41,858",,,,31,182,"22,990",,,,31,25,"5,476",,,,32,"1,255","124,630",36,"1,457","57,849",32,860,"70,394",36,"2,425","123,278",38,"7,814","123,514",32,10,"2,992",33,19,"3,281",33,61,"6,421",41,119,"2,748"
33,36,"4,305",35,3,226,,,,40,101,"1,612",,,,33,6,"1,048",29,548,"136,429",32,108,"31,349",29,35,"41,893",,,,30,19,"23,009",,,,30,9,"5,485",,,,31,757,"125,387",35,"1,482","59,331",31,988,"71,382",35,"3,325","126,603",37,"3,588","127,102",31,8,"3,000",32,6,"3,287",32,44,"6,465",40,141,"2,889"
32,43,"4,348",34,4,230,,,,39,50,"1,662",,,,,,,28,244,"136,673",31,50,"31,399",,,,,,,29,30,"23,039",,,,28,10,"5,495",,,,30,768,"126,155",34,924,"60,255",30,803,"72,185",34,"1,880","128,483",36,"3,355","130,457",30,6,"3,006",31,11,"3,298",31,41,"6,506",39,115,"3,004"
31,21,"4,369",33,1,231,,,,38,43,"1,705",,,,,,,26,120,"136,793",,,,,,,,,,28,14,"23,053",,,,,,,,,,29,934,"127,089",33,"1,327","61,582",29,401,"72,586",33,"2,234","130,717",35,"1,721","132,178",,,,30,19,"3,317",29,9,"6,515",38,113,"3,117"
30,19,"4,388",32,2,233,,,,37,33,"1,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,262,"127,351",32,397,"61,979",28,629,"73,215",32,"1,668","132,385",34,"2,065","134,243",,,,,,,,,,37,110,"3,227"
29,12,"4,400",30,1,234,,,,36,33,"1,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,131,"127,482",31,229,"62,208",27,139,"73,354",31,598,"132,983",33,543,"134,786",,,,,,,,,,36,145,"3,372"
28,24,"4,424",29,1,235,,,,35,10,"1,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,93,"62,301",26,110,"73,464",30,836,"133,819",32,895,"135,681",,,,,,,,,,35,66,"3,438"
27,15,"4,439",27,2,237,,,,34,11,"1,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,125,"62,426",25,20,"73,484",29,408,"134,227",31,542,"136,223",,,,,,,,,,34,82,"3,520"
26,8,"4,447",,,,,,,33,8,"1,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,83,"62,509",24,49,"73,533",28,172,"134,399",30,318,"136,541",,,,,,,,,,33,20,"3,540"
25,2,"4,449",,,,,,,32,2,"1,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,49,"73,582",27,204,"134,603",,,,,,,,,,,,,32,6,"3,546"
24,4,"4,453",,,,,,,31,1,"1,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,123,"134,726",,,,,,,,,,,,,31,22,"3,568"
23,4,"4,457",,,,,,,29,3,"1,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,"3,570"
22,2,"4,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,"4,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계,"4,460",,계,237,,계,"1,527",,계,"1,806",,계,31,,계,"1,048",,계,"136,793",,계,"31,399",,계,"41,893",,계,"31,221",,계,"23,053",,계,"17,552",,계,"5,495",,계,"26,007",,계,"127,482",,계,"62,509",,계,"73,582",,계,"134,726",,계,"136,541",,계,"3,006",,계,"3,317",,계,"6,515",,계,"3,570",
