,성공적인 직업생활,점수,등급,백분위,표준점수,농업 기초 기술,점수,등급,백분위,표준점수,공업 일반,점수,등급,백분위,표준점수,상업 경제,점수,등급,백분위,표준점수,수산·해운 산업 기초,점수,등급,백분위,표준점수,인간발달,점수,등급,백분위,표준점수,생활과 윤리,점수,등급,백분위,표준점수,윤리와 사상,점수,등급,백분위,표준점수,한국지리,점수,등급,백분위,표준점수,세계지리,점수,등급,백분위,표준점수,동아시아사,점수,등급,백분위,표준점수,세계사,점수,등급,백분위,표준점수,경제,점수,등급,백분위,표준점수,정치와 법,점수,등급,백분위,표준점수,사회·문화,점수,등급,백분위,표준점수,물리학 Ⅰ,점수,등급,백분위,표준점수,화학 Ⅰ,점수,등급,백분위,표준점수,생명과학 Ⅰ,점수,등급,백분위,표준점수,지구과학 Ⅰ,점수,등급,백분위,표준점수,물리학 Ⅱ,점수,등급,백분위,표준점수,화학 Ⅱ,점수,등급,백분위,표준점수,생명과학 Ⅱ,점수,등급,백분위,표준점수,지구과학 Ⅱ,점수,등급,백분위,표준점수
11,,39.0,3.0,82.0,60.0,,36.0,3.0,82.0,61.0,,39.0,4.0,65.0,55.0,,39.0,2.0,90.0,66.0,,37.0,4.0,58.0,54.0,,39.0,4.0,76.0,59.0,,39.0,4.0,62.0,55.0,,40.0,4.0,68.0,58.0,,40.0,4.0,61.0,55.0,,39.0,4.0,63.0,55.0,,40.0,4.0,67.0,56.0,,39.0,4.0,63.0,55.0,,40.0,4.0,67.0,56.0,,40.0,5.0,52.0,53.0,,39.0,4.0,68.0,57.0,,39.0,3.0,85.0,61.0,,39.0,4.0,68.0,57.0,,39.0,3.0,84.0,61.0,,39.0,2.0,88.0,63.0,,39.0,4.0,68.0,57.0,,39.0,4.0,74.0,58.0,,39.0,4.0,70.0,58.0,,39.0,2.0,94.0,66.0
12,,38.0,3.0,78.0,59.0,,35.0,3.0,81.0,60.0,,38.0,4.0,63.0,54.0,,38.0,2.0,89.0,65.0,,34.0,5.0,55.0,51.0,,38.0,4.0,76.0,58.0,,38.0,4.0,59.0,54.0,,39.0,4.0,65.0,57.0,,39.0,4.0,59.0,54.0,,38.0,4.0,61.0,54.0,,39.0,4.0,64.0,55.0,,38.0,4.0,61.0,54.0,,39.0,4.0,64.0,55.0,,39.0,5.0,50.0,52.0,,38.0,4.0,64.0,56.0,,38.0,3.0,80.0,60.0,,38.0,4.0,64.0,56.0,,38.0,3.0,81.0,60.0,,38.0,3.0,87.0,62.0,,38.0,4.0,65.0,56.0,,38.0,4.0,72.0,57.0,,38.0,4.0,67.0,57.0,,38.0,2.0,93.0,65.0
13,,37.0,4.0,76.0,58.0,,34.0,3.0,80.0,59.0,,37.0,4.0,62.0,53.0,,37.0,3.0,88.0,64.0,,30.0,5.0,48.0,47.0,,37.0,4.0,75.0,57.0,,37.0,5.0,56.0,53.0,,38.0,4.0,63.0,56.0,,38.0,5.0,57.0,53.0,,37.0,5.0,58.0,53.0,,38.0,4.0,61.0,54.0,,37.0,4.0,59.0,53.0,,38.0,4.0,62.0,54.0,,38.0,5.0,48.0,51.0,,37.0,4.0,61.0,55.0,,37.0,3.0,75.0,59.0,,37.0,4.0,60.0,55.0,,37.0,3.0,77.0,59.0,,37.0,3.0,83.0,61.0,,37.0,4.0,63.0,55.0,,37.0,4.0,68.0,56.0,,37.0,4.0,65.0,56.0,,37.0,2.0,91.0,64.0
14,,36.0,4.0,74.0,57.0,,33.0,3.0,77.0,58.0,,36.0,4.0,60.0,52.0,,36.0,3.0,86.0,63.0,,29.0,5.0,42.0,46.0,,36.0,4.0,74.0,56.0,,36.0,5.0,53.0,52.0,,37.0,4.0,61.0,55.0,,37.0,5.0,55.0,52.0,,36.0,5.0,56.0,52.0,,37.0,5.0,59.0,53.0,,36.0,5.0,57.0,52.0,,37.0,4.0,59.0,53.0,,37.0,5.0,46.0,50.0,,36.0,5.0,57.0,54.0,,36.0,4.0,72.0,58.0,,36.0,5.0,57.0,54.0,,36.0,4.0,74.0,58.0,,36.0,3.0,80.0,60.0,,36.0,4.0,60.0,54.0,,36.0,4.0,65.0,55.0,,36.0,4.0,61.0,55.0,,36.0,2.0,90.0,63.0
15,,35.0,4.0,70.0,56.0,,32.0,4.0,73.0,57.0,,35.0,5.0,58.0,51.0,,35.0,3.0,84.0,62.0,,27.0,6.0,35.0,44.0,,35.0,4.0,73.0,55.0,,35.0,5.0,51.0,51.0,,36.0,5.0,59.0,54.0,,36.0,5.0,53.0,51.0,,35.0,5.0,54.0,51.0,,36.0,5.0,57.0,52.0,,35.0,5.0,55.0,51.0,,36.0,5.0,56.0,52.0,,36.0,5.0,44.0,49.0,,35.0,5.0,53.0,53.0,,35.0,4.0,69.0,57.0,,35.0,5.0,53.0,53.0,,35.0,4.0,70.0,57.0,,35.0,3.0,77.0,59.0,,35.0,5.0,57.0,53.0,,35.0,4.0,63.0,54.0,,35.0,5.0,58.0,54.0,,35.0,3.0,87.0,62.0
16,,34.0,4.0,68.0,55.0,,31.0,4.0,70.0,56.0,,34.0,5.0,56.0,50.0,,34.0,3.0,83.0,61.0,,26.0,6.0,29.0,43.0,,34.0,4.0,72.0,54.0,,34.0,5.0,48.0,50.0,,35.0,5.0,58.0,53.0,,35.0,5.0,50.0,50.0,,34.0,5.0,52.0,50.0,,35.0,5.0,54.0,51.0,,34.0,5.0,53.0,50.0,,35.0,5.0,54.0,51.0,,35.0,5.0,42.0,48.0,,34.0,5.0,50.0,52.0,,34.0,4.0,66.0,56.0,,34.0,5.0,51.0,52.0,,34.0,4.0,66.0,56.0,,34.0,4.0,75.0,58.0,,34.0,5.0,56.0,52.0,,34.0,4.0,61.0,53.0,,34.0,5.0,56.0,53.0,,34.0,3.0,83.0,61.0
17,,33.0,4.0,65.0,54.0,,30.0,4.0,66.0,55.0,,33.0,5.0,54.0,49.0,,33.0,3.0,81.0,60.0,,25.0,7.0,19.0,42.0,,33.0,4.0,71.0,53.0,,33.0,5.0,45.0,49.0,,34.0,5.0,56.0,52.0,,34.0,5.0,49.0,49.0,,33.0,5.0,50.0,49.0,,34.0,5.0,51.0,50.0,,33.0,5.0,51.0,49.0,,34.0,5.0,51.0,50.0,,34.0,5.0,41.0,47.0,,33.0,5.0,48.0,51.0,,33.0,4.0,63.0,55.0,,33.0,5.0,48.0,51.0,,33.0,4.0,63.0,55.0,,33.0,4.0,72.0,57.0,,33.0,5.0,54.0,51.0,,33.0,5.0,57.0,52.0,,33.0,5.0,54.0,52.0,,33.0,3.0,80.0,60.0
18,,32.0,4.0,62.0,53.0,,29.0,4.0,62.0,54.0,,32.0,5.0,51.0,48.0,,32.0,3.0,80.0,59.0,,22.0,7.0,16.0,39.0,,32.0,4.0,68.0,52.0,,32.0,5.0,42.0,48.0,,33.0,5.0,54.0,51.0,,33.0,5.0,46.0,48.0,,32.0,5.0,48.0,48.0,,33.0,5.0,49.0,49.0,,32.0,5.0,49.0,48.0,,33.0,5.0,48.0,49.0,,33.0,6.0,39.0,46.0,,32.0,5.0,45.0,50.0,,32.0,4.0,61.0,54.0,,32.0,5.0,45.0,50.0,,32.0,4.0,59.0,54.0,,32.0,4.0,70.0,56.0,,32.0,5.0,51.0,50.0,,32.0,5.0,54.0,51.0,,32.0,5.0,51.0,51.0,,32.0,3.0,77.0,59.0
19,,31.0,4.0,59.0,52.0,,28.0,5.0,59.0,53.0,,31.0,5.0,48.0,47.0,,31.0,3.0,78.0,58.0,,20.0,7.0,13.0,37.0,,31.0,4.0,65.0,51.0,,31.0,5.0,39.0,47.0,,32.0,5.0,53.0,50.0,,32.0,5.0,43.0,47.0,,31.0,5.0,45.0,47.0,,32.0,5.0,46.0,48.0,,31.0,5.0,47.0,47.0,,32.0,5.0,46.0,48.0,,32.0,6.0,36.0,45.0,,31.0,5.0,42.0,49.0,,31.0,5.0,58.0,53.0,,31.0,5.0,41.0,49.0,,31.0,5.0,56.0,53.0,,31.0,4.0,67.0,55.0,,31.0,5.0,49.0,49.0,,31.0,5.0,52.0,50.0,,31.0,5.0,49.0,50.0,,31.0,4.0,74.0,58.0
20,,30.0,5.0,55.0,51.0,,27.0,5.0,57.0,52.0,,30.0,5.0,44.0,46.0,,30.0,4.0,76.0,57.0,,19.0,8.0,6.0,36.0,,30.0,4.0,64.0,50.0,,30.0,6.0,37.0,46.0,,31.0,5.0,50.0,49.0,,31.0,5.0,40.0,46.0,,30.0,5.0,42.0,46.0,,31.0,5.0,43.0,47.0,,30.0,5.0,44.0,46.0,,31.0,5.0,43.0,47.0,,31.0,6.0,34.0,44.0,,30.0,5.0,40.0,48.0,,30.0,5.0,56.0,52.0,,30.0,6.0,37.0,48.0,,30.0,5.0,52.0,52.0,,30.0,4.0,65.0,54.0,,30.0,5.0,47.0,48.0,,30.0,5.0,48.0,49.0,,30.0,5.0,47.0,49.0,,30.0,4.0,71.0,57.0
21,,29.0,5.0,51.0,50.0,,26.0,5.0,54.0,51.0,,29.0,5.0,41.0,45.0,,29.0,4.0,73.0,56.0,,18.0,8.0,3.0,35.0,,29.0,4.0,61.0,49.0,,29.0,6.0,33.0,45.0,,30.0,5.0,48.0,48.0,,30.0,6.0,37.0,45.0,,29.0,5.0,40.0,45.0,,30.0,5.0,40.0,46.0,,29.0,5.0,41.0,45.0,,30.0,5.0,39.0,46.0,,30.0,6.0,32.0,43.0,,29.0,6.0,38.0,47.0,,29.0,5.0,52.0,51.0,,29.0,6.0,35.0,47.0,,29.0,5.0,48.0,51.0,,29.0,4.0,61.0,53.0,,29.0,5.0,45.0,47.0,,29.0,5.0,45.0,48.0,,29.0,5.0,45.0,48.0,,29.0,4.0,68.0,56.0
22,,28.0,5.0,48.0,49.0,,25.0,5.0,51.0,50.0,,28.0,6.0,36.0,44.0,,28.0,4.0,71.0,55.0,,-17.0,8.0,100.0,0.0,,28.0,5.0,56.0,48.0,,28.0,6.0,30.0,44.0,,29.0,5.0,46.0,47.0,,29.0,6.0,35.0,44.0,,28.0,6.0,37.0,44.0,,29.0,6.0,37.0,45.0,,28.0,6.0,38.0,44.0,,29.0,6.0,37.0,45.0,,29.0,6.0,29.0,42.0,,28.0,6.0,36.0,46.0,,28.0,5.0,49.0,50.0,,28.0,6.0,33.0,46.0,,28.0,5.0,46.0,50.0,,28.0,5.0,57.0,52.0,,28.0,5.0,42.0,46.0,,28.0,5.0,42.0,47.0,,28.0,5.0,42.0,47.0,,28.0,4.0,65.0,55.0
23,,27.0,5.0,44.0,48.0,,24.0,5.0,48.0,49.0,,27.0,6.0,31.0,43.0,,27.0,4.0,69.0,54.0,,-17.0,9.0,100.0,0.0,,27.0,5.0,50.0,47.0,,27.0,6.0,28.0,43.0,,28.0,5.0,43.0,46.0,,28.0,6.0,31.0,43.0,,27.0,6.0,33.0,43.0,,28.0,6.0,33.0,44.0,,27.0,6.0,36.0,43.0,,28.0,6.0,33.0,44.0,,28.0,6.0,26.0,41.0,,27.0,6.0,34.0,45.0,,27.0,5.0,47.0,49.0,,27.0,6.0,31.0,45.0,,27.0,5.0,43.0,49.0,,27.0,5.0,54.0,51.0,,27.0,5.0,40.0,45.0,,27.0,5.0,40.0,46.0,,27.0,5.0,40.0,46.0,,27.0,4.0,62.0,54.0
24,,26.0,5.0,40.0,47.0,,23.0,5.0,44.0,48.0,,26.0,6.0,27.0,42.0,,26.0,4.0,66.0,53.0,,-17.0,9.0,100.0,0.0,,26.0,5.0,46.0,46.0,,26.0,6.0,26.0,42.0,,27.0,5.0,40.0,45.0,,27.0,6.0,28.0,42.0,,26.0,6.0,29.0,42.0,,27.0,6.0,31.0,43.0,,26.0,6.0,31.0,42.0,,27.0,6.0,30.0,43.0,,27.0,6.0,24.0,40.0,,26.0,6.0,32.0,44.0,,26.0,5.0,44.0,48.0,,26.0,6.0,29.0,44.0,,26.0,5.0,41.0,48.0,,26.0,5.0,52.0,50.0,,26.0,6.0,37.0,44.0,,26.0,6.0,37.0,45.0,,26.0,6.0,38.0,45.0,,26.0,4.0,59.0,53.0
25,,25.0,6.0,36.0,46.0,,22.0,5.0,40.0,47.0,,25.0,6.0,23.0,41.0,,25.0,4.0,64.0,52.0,,-17.0,9.0,100.0,0.0,,25.0,5.0,40.0,45.0,,25.0,6.0,23.0,41.0,,26.0,6.0,38.0,44.0,,26.0,6.0,25.0,41.0,,25.0,6.0,25.0,41.0,,26.0,6.0,28.0,42.0,,25.0,6.0,27.0,41.0,,26.0,6.0,28.0,42.0,,26.0,6.0,21.0,39.0,,25.0,6.0,29.0,43.0,,25.0,5.0,42.0,47.0,,25.0,6.0,27.0,43.0,,25.0,5.0,39.0,47.0,,25.0,5.0,49.0,49.0,,25.0,6.0,33.0,43.0,,25.0,6.0,33.0,44.0,,25.0,6.0,35.0,44.0,,25.0,5.0,56.0,52.0
26,,24.0,6.0,32.0,45.0,,21.0,6.0,36.0,46.0,,24.0,7.0,19.0,40.0,,24.0,4.0,62.0,51.0,,-17.0,9.0,100.0,0.0,,24.0,6.0,32.0,44.0,,24.0,7.0,20.0,40.0,,25.0,6.0,34.0,43.0,,25.0,6.0,22.0,40.0,,24.0,7.0,21.0,40.0,,25.0,6.0,24.0,41.0,,24.0,6.0,21.0,40.0,,25.0,6.0,24.0,41.0,,25.0,7.0,17.0,38.0,,24.0,6.0,27.0,42.0,,24.0,5.0,40.0,46.0,,24.0,6.0,25.0,42.0,,24.0,6.0,37.0,46.0,,24.0,5.0,47.0,48.0,,24.0,6.0,30.0,42.0,,24.0,6.0,31.0,43.0,,24.0,6.0,32.0,43.0,,24.0,5.0,53.0,51.0
27,,23.0,6.0,28.0,44.0,,20.0,6.0,32.0,45.0,,23.0,7.0,14.0,39.0,,23.0,4.0,60.0,50.0,,-17.0,9.0,100.0,0.0,,23.0,6.0,28.0,43.0,,23.0,7.0,18.0,39.0,,24.0,6.0,30.0,42.0,,24.0,7.0,18.0,39.0,,23.0,7.0,17.0,39.0,,24.0,7.0,20.0,40.0,,23.0,7.0,15.0,39.0,,24.0,7.0,20.0,40.0,,24.0,7.0,14.0,37.0,,23.0,6.0,25.0,41.0,,23.0,6.0,37.0,45.0,,23.0,6.0,23.0,41.0,,23.0,6.0,35.0,45.0,,23.0,5.0,44.0,47.0,,23.0,6.0,25.0,41.0,,23.0,6.0,29.0,42.0,,23.0,6.0,28.0,42.0,,23.0,5.0,51.0,50.0
28,,21.0,6.0,24.0,42.0,,19.0,6.0,28.0,44.0,,22.0,7.0,11.0,38.0,,22.0,5.0,57.0,49.0,,-17.0,9.0,100.0,0.0,,22.0,6.0,23.0,42.0,,22.0,7.0,16.0,38.0,,23.0,6.0,26.0,41.0,,23.0,7.0,16.0,38.0,,22.0,7.0,13.0,38.0,,23.0,7.0,18.0,39.0,,22.0,7.0,11.0,38.0,,23.0,7.0,18.0,39.0,,23.0,7.0,11.0,36.0,,22.0,6.0,23.0,40.0,,22.0,6.0,34.0,44.0,,22.0,7.0,21.0,40.0,,22.0,6.0,32.0,44.0,,22.0,5.0,40.0,46.0,,22.0,7.0,20.0,40.0,,22.0,6.0,25.0,41.0,,22.0,6.0,26.0,41.0,,22.0,5.0,48.0,49.0
29,,20.0,7.0,21.0,41.0,,18.0,6.0,24.0,43.0,,21.0,8.0,8.0,37.0,,21.0,5.0,54.0,48.0,,-17.0,9.0,100.0,0.0,,21.0,7.0,17.0,41.0,,21.0,7.0,13.0,37.0,,22.0,6.0,21.0,40.0,,22.0,7.0,12.0,37.0,,21.0,7.0,9.0,37.0,,22.0,7.0,14.0,38.0,,21.0,8.0,7.0,37.0,,22.0,7.0,14.0,38.0,,22.0,8.0,8.0,35.0,,21.0,7.0,19.0,39.0,,21.0,6.0,32.0,43.0,,21.0,7.0,19.0,39.0,,21.0,6.0,30.0,43.0,,21.0,6.0,36.0,45.0,,21.0,7.0,16.0,39.0,,21.0,7.0,21.0,40.0,,21.0,6.0,23.0,40.0,,21.0,5.0,45.0,48.0
30,,19.0,7.0,17.0,40.0,,17.0,7.0,22.0,42.0,,20.0,8.0,5.0,36.0,,20.0,5.0,48.0,47.0,,-17.0,9.0,100.0,0.0,,20.0,7.0,11.0,40.0,,20.0,7.0,10.0,36.0,,21.0,7.0,15.0,39.0,,21.0,8.0,7.0,36.0,,20.0,8.0,6.0,36.0,,21.0,7.0,10.0,37.0,,20.0,8.0,4.0,36.0,,21.0,8.0,10.0,37.0,,21.0,8.0,5.0,34.0,,20.0,7.0,16.0,38.0,,20.0,6.0,28.0,42.0,,20.0,7.0,16.0,38.0,,20.0,6.0,27.0,42.0,,20.0,6.0,33.0,44.0,,20.0,7.0,12.0,38.0,,20.0,7.0,17.0,39.0,,20.0,7.0,18.0,39.0,,20.0,5.0,43.0,47.0
31,,18.0,7.0,14.0,39.0,,16.0,7.0,20.0,41.0,,19.0,8.0,3.0,35.0,,19.0,5.0,42.0,46.0,,-17.0,9.0,100.0,0.0,,19.0,8.0,8.0,39.0,,19.0,8.0,9.0,35.0,,20.0,7.0,13.0,38.0,,20.0,8.0,5.0,35.0,,19.0,8.0,3.0,35.0,,20.0,8.0,7.0,36.0,,19.0,9.0,2.0,35.0,,20.0,8.0,8.0,36.0,,20.0,8.0,3.0,33.0,,19.0,7.0,14.0,37.0,,19.0,6.0,23.0,41.0,,19.0,7.0,14.0,37.0,,19.0,6.0,25.0,41.0,,19.0,6.0,30.0,43.0,,19.0,8.0,8.0,37.0,,19.0,7.0,12.0,38.0,,19.0,7.0,14.0,38.0,,19.0,5.0,40.0,46.0
